section_number,question_number,question_text,short_title
1,3,"Насколько сильно влияет настроение на наполнение психического тела во время статики, нахождения в воде, во время бега, в бане/сауне, во время поста? Например: радостное настроение — 100% энергии, грустное — 50%, негативное — 0%. Есть ли какая-то статистика? (Вопрос №19)",Настроение и наполнение в аскезах
1,1,"В курсе мы говорим о том, что есть 3 желания души: желание Знания трансформируется в энергию воды (Оджас), желание любви — в энергию Солнца (Теджас). Но в методическом пособии написано наоборот, что энергия Знания — это Теджас, а энергия Счастья — это Оджас. То есть в уроке вы оговорились и правильно так, как написано в методическом пособии, или наоборот? (Вопрос №32)",Соответствие энергий: Оджас и Теджас
1,6,"Олег Геннадьевич рассказывал про движение пран и упомянул, что можно что-то делать, чтобы направлять их не вверх, а вниз — с помощью чего?",Направление пран вниз: чем управлять
1,7,"Если есть хроническое заболевание, как понять, каких энергий не хватает? (слой понятен, одну энергию можно точно определить, но часто их не хватает двух)",Дефицит энергий при хронических болезнях
1,15,"Как наполняться энергией земли и эфира? Почему энергии воздуха, воды и солнца важнее земли и эфира?",Земля и эфир: как наполняться
1,5,Что происходит с тонким телом и энергетическими каналами при слишком сильном стрессе?,Стресс и тонкие каналы: последствия
1,9,Привычка сидеть в телефоне и смотреть рилсы в соцсетях — это вредная привычка как просмотр ТВ и она указывает на нехватку энергии праны?,Рилсы/телефон и нехватка праны
1,13,В чём отличие между эмоцией отчаяния и эмоцией разочарования?,Отличие отчаяния и разочарования
1,14,За счёт чего чакры распределяют энергию по психическому телу?,Как чакры распределяют энергию
1,18,Что лечится сначала — физическое тело или психическое?,Что лечить сначала: психику или тело
1,2,"Частый вопрос про модную сейчас практику стояния на гвоздях. Можно ли стоять в статике на гвоздях? Будет ли эффект от такой практики увеличен? Какой в целом эффект практики стояния на гвоздях, какую энергию она усиливает и какую тратит?","Гвозди: эффект, энергия и безопасность"
1,4,За какое время может возникнуть общая нехватка энергии?,Сроки развития общего дефицита энергии
1,8,"Как соотносится три желания души (жить, любить, знать) с желанием (вечной природой) живого существа служить?",Желания души и природа служения
1,10,Кто входит в категорию тренированных людей по аскезам?,Кто считается тренированным в аскезах
1,11,"Механизм бега: как прочищаются блоки, зависит ли от количества праны в воздухе? Поэтому при холодной погоде бег качественнее?",Бег и прана воздуха: как чистятся блоки
1,12,"За сколько минут наполняется праной ребёнок или взрослый на улице при +10, +5, 0 градусах?",Прана на улице: время при +10/+5/0
1,16,"Кроме психического тела у человека есть ментальное, астральное, каузальное, эфирное тела — они относятся к психическому телу или самостоятельны?",Другие тонкие тела: связь с психическим
1,17,"Правильно ли понимать, что психическое тело первичнее физического?",Психическое тело первичнее физического?
2,1,"При растворении блока в шротасах по энергии воды уходит ли хроническое заболевание (например, диабет), если по энергии Солнца блок остался? (Вопрос №1)",Диабет: эффект чистки блока воды
2,11,За что отвечает каждый из датху в психических слоях?,"Психических: отвечает, каждый, датху"
2,2,"Когда прочищается блок, он прочищается сначала в шротасах, потом в нади или одновременно и там и там? (Вопрос №2)",Где чистится блок: шротасы vs нади
2,7,Как научиться видеть блоки у себя и у других людей? На основе диагнозов болезней или есть другие методы определения?,Как научиться видеть блоки
2,15,Сейчас очень много детей с СДВГ (синдром дефицита внимания и гиперактивности). Если можно — немного рассказать про него с позиции блоков и энергий.,СДВГ с позиции блоков и энергий
2,3,"Сколько примерно раз нужно сделать аскезу, чтобы пробить слабый блок, средний блок и сильный блок? (Вопрос №3)",Сколько практик нужно для пробития блока
2,4,"На курсе говорим, что блок может находиться в начале, середине или в конце слоя. По какой причине в статике боль может длиться всё время определённого слоя? (Вопрос №25)",Боль в статике весь слой: причины
2,6,Возможно ли прокачать психические каналы с помощью наполнения их энергиями до их первоначального состояния?,Восстановление каналов до нормы: возможно?
2,12,Можно ли вылечить аутизм через систему оздоровления?,Аутизм и система оздоровления
2,14,"Может ли быть блок в шротасах на каком-то слое, но отсутствовать на этом же слое в нади?",Блоки: может ли отличаться шротасы/нади
2,5,Если блок расположен в конце пятого слоя и после окончания времени пяти слоёв не наступает облегчения (человек заканчивает на пике боли) — нужно ли увеличить время нахождения в статике? (Вопрос №26),Пик боли в конце 5 слоя: увеличивать?
2,8,"Было услышано, что у человека бывает 4 блока в общем. Но при статике возле дерева ощущались 3 блока — два маленьких и один большой. Может ли быть более 4 блоков? Хотелось бы визуализацию, чтобы понимать, как они выглядят.",Сколько блоков бывает: больше четырёх?
2,9,Почему блок по воздуху невозможно пробить водой? Хотелось бы визуализацию или аналогию.,Почему воду нельзя заменить для воздуха
2,10,"Если простываешь от холодного воздуха, пока каналы плохо принимают прану, то для сильного простужения и вирусной инфекции нужно, чтобы присутствовали статические блоки и блоки негативного тонуса, то есть все три вида блоков на одном слое?",Простуда: нужны ли 3 типа блоков
2,13,Как влияют на психическое тело неразвитые блоки?,Неразвитые блоки: влияние на психику
3,13,"Специфика женского организма: что происходит с энергиями при гормональных изменениях (подростковая перестройка, овуляция, месячные, беременность, климакс)? Как энергии могут улучшить состояние? Нужно ли продолжать график аскез или корректировать его в эти периоды?",Гормональные периоды и корректировка аскез
3,7,"Что такое хроническое заболевание? Верно ли, что это заболевание или нарушение функции, которое не проходит полностью или периодически возвращается? Можно ли считать хроническими грибок на ногах, варикоз, нерегулярный цикл, гормональные расстройства?",Что считать хроническим заболеванием
3,8,"Почему в хаммаме такие жёсткие границы температуры, и что будет, если выйти за пределы 47–48 градусов в большую или меньшую сторону?",Хаммам: почему границы 47–48°C
3,12,"Расскажите о 5-й категории здоровья, о которой не было урока.",5-я категория здоровья: описание
3,3,"От чего зависит повышенная или пониженная функция щитовидной железы или поджелудочной? Как понять, по каким энергиям идёт нехватка?",Щитовидка/поджелудочная: нехватка энергий
3,4,"Через какое время и как правильно делать практику воды после ОРВИ, если до болезни человек практиковал в воде ниже +15 градусов?",Возврат к воде после ОРВИ
3,5,"Когда Олег Геннадьевич приезжает в город и с ним бегут люди разных категорий здоровья на 5 слоёв — можно ли ради популяризации практики звать друзей, объясняя им, что начинать правильно с воды?",Можно ли звать новичков на забег с ОГ
3,6,"При возникновении острой боли (например, в суставах) можно ли употреблять обезболивающие, противовоспалительные лекарства и мази?",Лекарства при острой боли: допустимо?
3,14,"Когда можно выполнять основную силовую тренировку, если утром не хватает сил для нагрузки?",Силовые тренировки: когда делать при усталост
3,1,"Нужно ли увеличивать нагрузку в аскезах, если стало уже комфортно, чтобы усилить и ускорить процесс исцеления? Например: увеличивать скорость бега/ходьбы, понижать температуру воды, переходить к более сложным положениям в статике? (Вопрос №20)",Усиление аскез при комфорте: нужно ли?
3,2,"Если во время выполнения практик у человека случается авария или травма и он месяц не делает методику, нужно ли начинать всё сначала? Это не зависит от того, сколько лет человек практиковал ранее? Мы определяем его категорию здоровья (1–5) и даём рекомендации по возвращению к практике на 5 слоёв согласно категории?",Перерыв из-за травмы: начинать ли сначала
3,9,"Если человек делал практики вода, статика, динамика на 4, 3, 2 слоя и произошёл перерыв на месяц (например, сломал ногу), нужно ли начинать по методичке сначала? Это относится к тем, кто ещё не вышел на 5 слоёв по всем аскезам?",Статика: техника и ограничения
3,10,"Почему для 3-й категории по воде рекомендуется делать 2.5 слоя, а затем 5 слоёв, если ранее говорилось, что лучше выполнять полное количество слоёв?",Вода 3-я категория: почему 2.5 слоя
3,11,"Как понимать «острая» и «тупая» боль в практике воды, постов и бани?",Острая vs тупая боль в практиках
3,15,"Мужчина 54 года: практиковал ледяную воду, баню 5-3-1, статику стоя, ходил 21 км раз в неделю. После операции на мениске — когда можно начинать ледяную воду и баню? И ходить постепенно на 1 слой?",После мениска: когда вода/баня/ходьба
4,1,"В методичке описано, что согреваться после воды можно с помощью бега, горячего душа, тёплых вещей и т.д., а в уроке 27 говорится, что только баня или горячая ванна. Где истина? (Вопрос №5)",Согрев после воды: душ/бег или баня
4,20,Если после воды вечером или на следующий день появляется жар — может ли это быть из-за неподходящей температуры воды?,Жар после воды: причина в температуре?
